segment_id,segment_class,hamnosys_1_initial_configuration,hamnosys_2_basic_handshape,hamnosys_3_handshape_modifications,fsw,signwriting_1,signwriting_2
seg00266,handshape,,,,S1cc,,
seg00267,handshape,,,,S1cf,,
seg00268,handshape,,,,S1d9,,
seg00269,handshape,,,,S1db,,
seg00270,handshape,,,,S1e3,,
seg00271,handshape,,,,S1e6,,
seg00272,handshape,,,,S1e8,,
seg00273,handshape,,,,S1ec,,
seg00274,handshape,,,,S1ef,,
seg00275,handshape,,,,S1f1,,
seg00276,handshape,,,,S1f6,,
seg00277,handshape,,,,S1fa,,
seg00278,handshape,,,,S1fe,,
