dic_gloss,synonyms,sid,FSW
Augusto,,208,AS16d02S36a00S21410S20600M532x538S36a00482x477S16d02512x507S20600490x527S21410515x526
avisar,,642,AS18528S26a07S2f700M519x522S18528482x507S26a07498x478S2f700489x495
ayudar (mov. neutro),,933,AS1f710S15d39S20500S22a20M515x527S15d39492x493S1f710486x495S22a20492x474S20500488x516
azar,suerte,1237,AS1d451S22a00S16c18S32a10S1bb20S20500S1bb28S22a07S14c28S22a11S14c20M575x601S16c18503x521S1d451522x512S22a00530x492S1bb20518x559S1bb28495x559S20500512x590S22a07538x552S22a11479x555S14c20552x524S14c28458x528S32a10482x483
azucar,,309,M547x535S33b00482x483S1c501522x484S1c211519x432S22815509x461S21100500x449S26500529x466S20500519x512S21410517x527
B,,49,AS14720M507x511S14720493x489
bachillerato,,614,AS14711S36d00S20600M521x521S36d00479x480S14711478x489S20600478x510
bajo,"inferior, menor, insignificante",898,AS18010S22a04S2f700S18018S22a14S2f700M543x520S18010513x480S18018458x480S22a04515x494S22a14473x494S2f700473x513S2f700516x513
banano,banana,268,M532x537S2030a494x489S1ea11489x463S2a602515x489S2a603473x490S1ea01504x516S1ea01469x516
Barbosa (Santander),barbosa (santander),1104,M518x545S20500507x534S20500485x533S15d1f469x508S2d508490x523S2ff00482x483
Barichara (Santander),barichara (santander),1105,M526x530S16c49474x470S10a50487x484S23604487x513
barón (españa),,1234,M546x523S14701504x489S18501472x493S20500478x512S27102531x481S36d00479x478
Barrancabermeja (Santander),barrancabermeja (santander),1106,M525x562S33b00482x483S20300510x506S27102496x522
barrera,"traba, rechazar, repelar, cortafuegos, contrafuegos, firewall",852,M525x522S15d0a475x495S16620491x482S20500512x498S21410510x514S26500510x479
base (matemáticas),,990,AS15d51S2ea06S15a1aS2f900M516x534S15a1a485x475S2f900491x467S15d51490x492S2ea06491x519
Bb tactil,,556,AS14720S15d08S21410S21414S20500M519x526S15d08482x474S20500490x510S21414504x506S21410504x518S14720505x479
bebé,"niño de pecho, recién nacido",100,AS15d32S37906S15d3aS37806S20500S27126M549x519S15d3a502x493S15d32460x482S37906463x505S37806486x494S20500451x501S27126534x480
Betel,,12,M523x518S15a1a477x506S14720481x483S20600501x493
Betulia (Santander),betulia (santander),1107,M575x546S34700482x483S14710513x454S2c304521x475S18540506x531S18548476x531S26506537x531S26512457x532S1f740555x530S1f748434x530
Biblia,"Santas Escrituras, Sagradas Escrituras, Palabra de Dios",184,M533x563S15a40502x458S15a48489x458S2a208510x436S2a210468x436S2fb00493x438S20500497x488S15d38476x522S2f900484x511S1d450501x507S2b705508x539
Biblia,"Santas Escrituras, Sagradas Escrituras, Palabra de Dios",185,M520x523S20500480x476S20500496x512S2880c508x498S14721492x481S15a18480x492
