dic_gloss,synonyms,sid,FSW
gemeos,,205,M534x524S33100482x483S15a01496x501S21100521x497
GÉMEOS,,442,M534x526S33100482x483S15d01496x503S21100521x497
GENGIVAS,"Gengivas, gengivas",497,M522x561S36100482x483S10a00504x510S26502484x523S2df00501x540
geral,"nacional, Geral, Nacional, GERAL, NACIONAL",368,M515x536S14c20487x464S2e600486x503
gesto,,111,M527x537S14c40503x464S14c48473x477S2ea00509x499S2ea4c480x512
GESTUAL,GESTUAR,463,M525x537S14c31475x478S14c29475x485S2e501502x464S2e513481x514
gestual,"Gestual, GESTUAL",370,M550x535S14c17523x481S14c1f451x466S27203501x501S2721f462x492
gostar,"gosto, gostas",240,M518x585S36a00482x477S17c0e488x526S1850e493x561S22a04495x547
gramatica,,18,M544x528S1f711496x473S1f719481x480S20e00495x501S23610457x511S23604505x510
gritar,GRITAR,432,M576x559S34400482x483S14e00508x513S14e08472x519S2b701538x518S2b701557x521S2b710446x513S2b710426x512S2fd04494x553
grupo,,244,M537x519S16d47504x498S16d4f473x499S22e01518x481S22e17463x481S20500493x491
grupo 2,Grupo 2,282,M539x523S16d47508x503S16d4f474x502S20500495x477S26901520x479S26917461x481
guerra,,154,M546x522S14e0a471x495S14e02497x490S20b00493x479S26a02532x490S26a16454x495
H,h,45,M507x515S1d610493x486
há,"HÁ, Há",421,M553x531S14010524x474S2df00532x510S2ff00482x483
há,"existe, tem",428,M541x573S10002510x530S22e04524x555S34700482x483S1000a462x531S22e14462x553
handshapes Val Feb 28 2017,,326,M520x527S1a138481x498S1a120499x473
historia,,19,M538x518S33200482x483S11502494x486S22a04525x491
hoje,"Hoje, HOJE",363,M513x527S10004495x473S22f04488x513
hoje,aqui,401,M509x522S10c50492x478S22a04494x507
horas,,361,M510x517S29f0c491x484
horrivel,,83,M518x535S34200482x482S37d0b488x523S20600496x513S11610474x503
horrível,"HORRÍVEL, Horrível",438,M518x571S34200482x483S37d0b488x524S11610474x504S20500498x521S26b02476x544
hospital,,141,M555x552S15a1a503x472S37806471x472S1c151492x448S11550506x522S11558480x522S2920a524x538S29212446x538
I,i,46,M510x509S19210489x490
idade,,119,M538x566S30004463x482S22b00486x536S36510502x483S14752480x519S34710474x502
identidade,,27,M521x524S19218480x476S37803481x494S20600499x485
implante coclear,,124,M529x534S18c21503x508S2ff02478x483
importante,,193,M543x529S33010479x483S10020517x499S26a00516x476S20e00523x493
Importante 2,importante 2,278,M541x524S33010479x483S10020526x494S21300517x472S26a00514x452
informacao,,142,M538x539S2ff00482x483S18000508x504S18008462x504S26a04506x525S26a14468x525
internet,,151,M545x538S14c47499x512S14c4f475x512S1c540501x462S1c548470x462S2d506525x493S2d51e455x493
interprete,,28,M514x529S15a3a487x501S15a50492x502S2a208488x471
Intérprete,intérprete,257,M522x528S15a3a478x472S15a50481x478S2a408497x492
IRÁ,"ira, raiva, RAIVA",435,M548x573S34a00482x483S15001505x531S15009461x530S22a11456x511S22a11447x521S22a07526x507S22a07535x516S20e00510x561S20e00470x561
J,j,47,M510x513S15f20490x486
j,,292,M510x514S15f10490x487
janeiro,,173,M539x527S2ff00482x483S20320521x482S2e500516x500
janela,,245,M553x517S20312512x502S20312473x484S37906486x492S37906473x508S20600531x489S20600447x501
