dic_gloss,synonyms,sid,FSW
Anděl,,5291,M559x572S31f00482x484S34610493x501S36b10482x481S20500495x470S18010450x523S18018520x525S22131538x538S22137446x538S37902511x531S3790a472x532
angína (UPOL),,2354,M550x539S2f700524x508S1ed0e487x513S23404513x519S36a00482x477
Anglie,,729,M550x524S36a00482x477S11553511x491S20600528x513
anglie 1,,2339,M554x560S36a00482x477S11553513x494S20600532x516S34c10497x496S1f509464x538
Anglie A (UPOL),,2812,M559x539S2ff00482x483S1e102490x507S2e200521x507S2f720547x514
Anglie B (UPOL),,2813,M551x526S36a00482x477S11553512x495S20600529x515
Anglie C (UPOL),,2814,M540x551S36a00482x477S11512510x512S26a04498x537S20f00497x523
angrešt,,2016,M523x559S2ff00482x483S1ce12479x460S1ce16493x519S22a00495x446S22a14495x544
angrešt,,5859,M522x553S34c00482x483S1ce02477x465S1ce0a492x519S22a00492x447S22a14493x538
ani A (UPOL),,3575,M542x541S30004482x489S1f510493x526S30142482x476S20500512x521S2f900529x511S26900526x523
ani B (UPOL),,3576,M548x524S20300493x509S2ff00482x483S20600523x512S26a04521x495
aniont (biol),,2037,L532x508S10002468x492S26606502x492
Anna Pangrácová,,2194,
ano,,75,M514x522S19a40486x477S23004488x504
ano,,9,M514x521S19a40486x478S22e04492x503
ano_dám,,1923,M531x598S18524471x583S1852c506x582S26620493x557S36d03479x530S30114483x477
ano-ano,,1989,L532x569S30100482x477S34a10495x509S19a10504x529S32101482x488S19a18462x549S2c420469x527
anoda (biol),,1941,M550x559S10004535x441S1000c452x441S1000a481x534S10000492x529S20500515x531S22b04534x458S22b14451x458
anoda 2 (biol),,1944,M559x564S10002529x457S1000a442x457S26500543x437S26510448x438S1000a473x538S10000482x534S20500506x530
anorganický 2 (biol),,2027,L518x524S10002486x496S10e0c483x476S20610484x513
anti,,2024,L519x523S10c08481x489S10c20502x501S26500505x488S26510485x477
antigen,,1947,
antiport (biol),,2035,L538x541S11532508x525S1153a475x506S36d00479x460S36d00480x537S26a00510x507S26a14476x521
