dic_gloss,synonyms,sid,FSW
Artikulation_vor_Spiegel21,"AvS_J, AvS_j",23148,M558x547S37a05431x427S36a10481x534S36a10492x487S33000478x453S33000510x484S36b00443x466S36b00473x500S36a10451x500S36a10523x518S37b05507x520S37a10430x458S37a10430x428S37705510x447S37a05430x504S37a05475x438S37810529x453S31430492x466S31e30450x476S35730451x489S35730492x474S37800496x502S37800500x505S37900489x503S37900492x503S37800479x507S37800482x500S37800486x503S2fb00504x453S2fb00534x481S2fb00485x457S2fb00489x456S2fb00491x454S2fb02520x492S2fb02523x487S2fb02525x494S2fb02528x487S2fb02531x495S2fb02533x488S2fb02536x494S2fb02539x487S2fb02541x496
Artikulation_vor_Spiegel7,"AvS_S, AvS_s",23133,M558x547S37a05431x427S36a10481x534S36a10492x487S33000478x453S33000510x484S36b00443x466S36b00473x500S36a10451x500S36a10523x518S37b05507x520S37a10430x458S37a10430x428S37705510x447S37a05430x504S37a05475x438S37810529x453S31430492x466S31e30450x476S36110495x474S2fb02541x496S37800496x502S37800500x505S37900489x503S37900492x503S37800479x507S37800482x500S37800486x503S2fb00504x453S2fb00534x481S2fb00485x457S2fb00489x456S2fb00491x454S2fb02520x492S2fb02523x487S2fb02525x494S2fb02528x487S2fb02531x495S2fb02533x488S2fb02536x494S2fb02539x487S36110454x488
Artikulationshilfe P,,4595,M534x542S35000477x488S33910511x477S1f710514x527S26500515x506
Arzt,,5681,M562x583S36100496x482S34c00437x481S35d04467x482S35d00526x483S37906469x562S20600526x552S1ce51498x532S15a1b506x560S20500550x552
Ärztin,,22053,M605x580S1d452489x528S36100482x483S35d04452x483S15a57499x554S20500485x553S20500472x553S34a00422x483S35d00512x483S34800542x483S1ed26586x518S22b04585x550
As,,17559,M584x568S2b800561x519S1f710564x553S34c00467x482S36100497x483S1f740541x508S2f900560x535
Aschenbecher,,9585,M630x591S34c00386x482S34500416x482S34700446x482S35000519x483S34700547x482S35800578x482S1f020448x547S22110430x533S18038537x575S22100458x533S2881f518x571S18030571x575S28807606x567S18040599x543S18048514x547S35d00476x482
ASL_have_not,,2063,M554x574S15d04518x547S27200514x525S35c00482x482
ASL_not_to_bad,,1975,M535x596S30f00482x482S34d00482x482S14c50511x527S2a508511x563
Assistent,Assistentin,14153,M615x603S36100414x483S20600444x576S1f540460x544S1f548444x544S34c00385x483S34800445x483S36100475x483S34700552x482S35d00522x482S35d00579x482S20500469x577S1ed26582x539S22b04581x573
Atemübung,,5481,M530x517S31400475x482S33600471x482S34900475x482S33a10519x488
auf,,9500,M516x533S15a50504x468S15a5a485x521S22a04501x501
auf,,2058,M555x536S10002525x464S10004501x506S1000a445x463S1000c479x506S28803503x471S2881b472x471
aufbereiten,"aufbereitet, aufbereitete",20795,M621x578S35000492x482S34c00550x482S18510553x559S18548522x559S20500547x546S2f900545x538S2c400581x538S2c415478x552S34c00387x483S34600416x483S36500446x482S34700520x482S34800577x482S15d39398x555S15d31440x555S22a00441x531S22a10403x530
aufbrechen,,17015,M588x580S20350488x547S20350507x548S2a208525x531S2a210461x533S35d04526x483S34600443x483S35000499x483S36500470x483S20500499x569S34700552x483S34c00413x483
auferstanden,,24552,M607x592S34600424x483S34c00394x482S36500452x483S34700482x483S35d04512x483S34500541x483S35d00571x483S11530567x557S11504536x562S28e02540x525
Aufgabe,,148,M549x611S36500513x483S15d39477x556S15d51494x588S2c300517x572S20b00503x541S34c00451x483S34600482x482S15d31493x556
Aufgabe,,7426,M546x575S34c00453x482S34500480x482S36500510x482S15d31508x552S15d39475x551S26500511x531S26510484x529
aufgehängt,,24782,M624x627S26510445x612S2f900444x533S2f900530x601S2f900528x532S2f900446x604S26500529x610S22d14421x563S22d04549x561S1f550517x561S1f558441x562S26500527x541S26510443x543S34c00376x483S34600401x483S36500426x483S35d04453x483S34700480x483S34a00507x483S35d00534x483S35d04560x483S35d00588x483
aufmachen,,7804,M590x566S34600438x484S36500466x483S35800554x483S33b00496x482S2d708538x533S20350527x551S34c00526x483S34c00410x484
aufrunden,,1222,M585x581S34c00452x482S34600482x482S36500512x482S17130544x561S17150541x525S28c00564x538
aufrunden,,13598,M592x573S34c00407x482S35d00556x483S36500466x481S34600527x482S35d04496x481S18210487x549S18218460x549S28c00510x526S2f900457x568S2f900497x532S34600437x481
Aufsatz,,10217,M603x570S34c00398x482S34600425x482S36500452x481S26a06549x543S36100480x482S34c00509x482S35d00538x482S36100567x483S15d39503x540S18520513x551S20e00532x532
Aufschnitt,,663,
Aufsicht,,10219,M588x589S34c00412x482S34600440x481S36500467x482S36100496x482S34800523x483S35800552x484S10e00480x518S37801488x546S10e57552x542S15d1a475x570S37806444x582S2d808499x543
