canonical_gloss,synonyms,sid,FSW
vegetable,"carrot, y",471,M544x526S35610482x483S20320508x511S20600522x499
carry,,472,M543x528S15a30457x501S15a30507x501S2920a463x482S2921a512x483S2fb00496x473
cat,,6,M555x548S2ff00482x482S14502524x492S1450a449x494S26a06514x521S26a12457x521
cat,theme:ANIMAL,203,M589x526S2ff00482x483S1ef18469x503S1ef10504x503S1f410560x504S1f418406x506S26506541x497S26506541x510S26512442x498S26512441x512
church,cathedral,765,M513x525S20308493x492S20300493x476S22f24488x511
chair,,490,M530x529S11559471x497S20600487x471S11551499x486S22f04505x515
seat,"chair, row of chairs",492,M552x521S11858474x479S11850503x479S26702449x505S26706510x504
change,exchange,727,M522x534S10609499x502S10621479x514S21100491x493S2df20487x467
change,exchange,728,M522x534S10609499x502S10621479x514S21100491x493S2df20487x467
Materials,"Checked, Plaid",328,M532x541S36d00479x460S14402453x472S20e00487x475S22b06502x473S14450465x492S20e00487x493S22b04486x511
cheek,"cheeky, insult",363,M543x517S1ec10520x490S30006482x482S20800516x478
child,,4,M537x582S32105482x482S15a58525x555
children,,95,AS15a58S15a58S2930aS29312S2fb00S32105M552x570S32105482x482S15a58508x542S15a58483x543S29312450x526S2930a511x526S2fb00493x524
children,Theme: family details,273,M533x524S15d50468x477S22a04475x508S22a04520x509S26606493x490
Countries,"China, Chinese",569,M527x536S36d00479x487S20500471x495S20500517x496S20500517x525S10b43467x465S22b04502x502S22b06485x493
Christmas,,654,M538x516S20500478x485S20350479x501S15a48463x489S26502501x502S20350523x501
christmas,"father christmas, theme: cards",426,M525x580S2ff00482x482S17c1e488x516S20e00513x517S22a04497x537S1851e497x555
christmas,father Christmas,653,M518x597S30004482x483S17c3e487x519S20e00496x540S22a04495x556S1853e493x572
clap,,358,M514x522S15a10501x495S15a18487x495S20c00486x478
Clasifier too,"too ,, the same as",368,M524x515S10028476x485S10020509x485S20500496x495
close the window,,501,M520x524S15a02493x496S15a06488x512S20500481x497S22a04498x477
closed-question,,44,M518x517S30a00482x482
Closing your eyes,,506,M550x583S31400482x417S31900482x462S31b00482x504S31600482x548S22c24534x534S37a00539x494S37a00539x447S37900539x428S37a00546x492S37a00546x445S37900546x428
Clothes,"Jacket, Life jacket., Coat",213,M552x533S14f1a445x501S14f12536x500S26502518x512S26516465x514S14f1a484x502S14f12498x503S36d00479x468
Hat,"take off hat, Clothes, Tall hat.",453,M528x518S2ff00482x483S16d40510x462S16d48472x462S22b00512x427S22b10472x427S30a00482x483
Clothes,"pants, Trousers",455,M542x559S36d00479x442S36d00479x466S15a1c474x496S15a14512x497S22a14509x532S22a04473x531S2fb04517x553S15a1c529x497S15a14455x496S26526491x501S22a04529x532S22a14453x531S2fb04461x552
Clothes,"panties, knickers, underwear, underpants",456,M554x541S36d00479x459S36d00480x492S1c515450x515S1c51d529x516S20500468x502S20500524x489S20500524x503S20500468x489S22a00535x493S22a10454x492
Clothes,Skirt,457,M546x547S14c04523x480S14c0c457x481S25e04527x515S25e14460x517S36d00479x473S20e00523x467S20e00465x469S36d00479x454S2fb04494x539
Clothes,"gloves, put on gloves",460,M560x534S14c00453x466S14c00537x500S14c08441x501S14c08522x467S22a04468x519S22a14518x519S20e00468x502S20e00519x502S26526492x517
Clothes,"scarf, neck scarf",461,M539x554S2ff00482x483S20500510x472S20500481x474S1ea17518x479S1ea1f459x482S2880d504x511S28815472x512S20500495x527S26506503x538S26512479x538S2fb04492x548
Clothes,shirt,462,M567x536S1d411516x488S1d419462x490S26a00540x482S26a00440x484S20800525x523S20800467x526S36d00479x465
Clothes,patterned shirt,463,M531x549S15001503x475S15007470x451S2e500506x507S2fd04484x543S2e318470x487
Clothes,"Scooped necked top, Scoop necked  shirt",464,M545x521S36d00479x487S15a53522x480S20e00499x494S28a0e484x504
Clothes,stripped shirt,465,M526x530S1ef0b452x478S36d00479x470S22c06484x490S22c06483x514S20e00492x480S20e00492x505
clothes,theme: contact symbols,402,M548x529S14c02509x472S20e00466x499S20e00522x498S14c0a458x471S23404511x513S23414453x515
clothes,"shoes, put on shoes",459,M545x553S15a50474x459S15a50508x522S17c12468x447S17c1a505x510S26504493x475S26514531x538S20800456x461S20800493x519S21100493x458S21100532x520
clown,"tomatoe, red nose",583,M521x539S33100482x483S21700515x522S21700488x500S21700505x501S15000488x508S21700480x517S21700482x531
coffee,theme: contact symbols,400,M516x516S20300501x484S20308494x501S21100485x484
coffee,,748,M566x538S1ed40510x515S2ff00482x483S2c304539x514
cold,,256,M552x528S1f740514x500S1f748464x500S36e00477x472S27106537x486S27112447x488
cold,,651,M528x529S15001473x481S15027500x483S21100493x515S20500495x471
colour,Theme:COLOURS,235,M518x536S2ff00482x482S14c00478x505S22240473x501S26506502x515S22240473x506
colours  Grey,"colour, grey",350,M593x516S15006461x491S15002505x489S20500492x484S27100553x495S27104406x493
colour,,740,M514x525S1ed10486x476S2e500491x498
Colour,,286,M593x516S15006461x491S15002505x489S20500492x484S27100553x495S27104406x493
colour orange,"orange, fruit orange",357,M552x539S2ff00482x482S15010515x508S22000518x496
Colour Pink,pink,355,M518x522S10a10493x495S2ff00482x482S21100472x508S20800495x497
